"","ID","StateProv","StationName"
"356","USW00012882 ","FL"," MIAMI OPA LOCKA AP            "
"357","USW00012883 ","FL"," LAKELAND LINDER RGNL AP       "
"358","USW00012884 ","LA"," BOOTHVILLE ASOS               "
"359","USW00012885 ","FL"," FT LAUDERDALE EXECUTIVE AP    "
"360","USW00012888 ","FL"," MIAMI KENDALL TAMIAMI EXEC AP "
"361","USW00012889 ","FL"," PINECASTLE NF                 "
"362","USW00012894 ","FL"," FT MYERS SW FLORIDA RGNL AP   "
"363","USW00012895 ","FL"," FT PIERCE ST LUCIE CO INTL AP "
"364","USW00012896 ","FL"," MARATHON AP                   "
"365","USW00012897 ","FL"," NAPLES MUNI AP                "
"366","USW00012903 ","TX"," HONDO AFB                     "
"367","USW00012904 ","TX"," HARLINGEN RIO GRANDE VLY INTL "
"368","USW00012906 ","TX"," HOUSTON ELLINGTON AFB         "
"369","USW00012907 ","TX"," LAREDO INTL AP                "
"370","USW00012909 ","TX"," SAN ANTONIO KELLY AFB         "
"371","USW00012910 ","TX"," SAN MARCOS GARY AFB           "
"372","USW00012911 ","TX"," RANDOLPH AFB                  "
"373","USW00012912 ","TX"," VICTORIA RGNL AP              "
"374","USW00012916 ","LA"," NEW ORLEANS AP                "
"375","USW00012917 ","TX"," PORT ARTHUR SE TX RGNL AP     "
"376","USW00012918 ","TX"," HOUSTON WILLIAM P HOBBY AP    "
"377","USW00012919 ","TX"," BROWNSVILLE                   "
"378","USW00012920 ","TX"," LAREDO WB AP                  "
"379","USW00012921 ","TX"," SAN ANTONIO INTL AP           "
"380","USW00012922 ","TX"," VICTORIA WB AP                "
"381","USW00012923 ","TX"," GALVESTON SCHOLES FLD         "
"382","USW00012924 ","TX"," CORPUS CHRISTI                "
"383","USW00012925 ","TX"," BEEVILLE CHASE NAAS           "
"384","USW00012926 ","TX"," CORPUS CHRISTI NAS            "
"385","USW00012927 ","LA"," HOUMA TERREBONNE AP           "
"386","USW00012928 ","TX"," KINGSVILLE NAAS               "
"387","USW00012930 ","LA"," NEW ORLEANS AUDUBON           "
"388","USW00012931 ","TX"," SAN ANTONIO BROOKS AFB        "
"389","USW00012932 ","TX"," ALICE INTL AP                 "
"390","USW00012935 ","TX"," PALACIOS MUNI AP              "
"391","USW00012944 ","TX"," GALVESTON                     "
"392","USW00012945 ","TX"," HOUSTON WB CITY               "
"393","USW00012946 ","TX"," CORPUS CHRISTI CABANISS FLD   "
"394","USW00012947 ","TX"," COTULLA LA SALLE CO AP        "
"395","USW00012953 ","TX"," WHARTON RGNL AP               "
"396","USW00012957 ","TX"," PORT ISABEL CAMERON CO AP     "
"397","USW00012958 ","LA"," NEW ORLEANS ALVIN CALLENDER FL"
"398","USW00012959 ","TX"," MCALLEN MILLER INTL AP        "
"399","USW00012960 ","TX"," HOUSTON INTERCONTINENTAL AP   "
"400","USW00012961 ","TX"," KERRVILLE MUNI AP             "
"401","USW00012962 ","TX"," HONDO MUNI AP                 "
"402","USW00012968 ","LA"," SALT PT                       "
"403","USW00012970 ","TX"," SAN ANTONIO STINSON MUNI AP   "
"404","USW00012971 ","TX"," AUSTIN SAN ANTONIO            "
"405","USW00012972 ","TX"," ROCKPORT ARANSAS CO AP        "
"406","USW00012974 ","TX"," ORANGE GROVE                  "
"407","USW00012975 ","TX"," HOUSTON CLOVER FLD            "
"408","USW00012976 ","TX"," ANGLETON LK JACKSON BRAZORIA C"
"409","USW00012977 ","TX"," HOUSTON SUGARLAND MEM         "
"410","USW00012978 ","TX"," FAYETTE RGNL AP               "
"411","USW00012979 ","TX"," SAN MARCOS MUNI AP            "
"412","USW00012981 ","TX"," BAY CITY MUNI AP              "
"413","USW00012985 ","TX"," GARNER FLD AP                 "
"414","USW00012987 ","TX"," EDINBURG 17 NNE               "
"415","USW00013301 ","MO"," CHILLICOTHE 22 ENE            "
"416","USW00013701 ","MD"," ABERDEEN PHILLIPS FLD         "
"417","USW00013702 ","VA"," LANGLEY AFB                   "
"418","USW00013705 ","MD"," CAMP SPRINGS ANDREWS AFB      "
"419","USW00013707 ","DE"," DOVER AFB                     "
"420","USW00013710 ","MD"," WASHINGTON DC BOLLING FLD AFB "
"421","USW00013713 ","NC"," GOLDSBORO 4 SE                "
"422","USW00013714 ","NC"," POPE AFB                      "
"423","USW00013717 ","SC"," MYRTLE BEACH AFB              "
"424","USW00013721 ","MD"," PATUXENT RIVER NAS            "
"425","USW00013722 ","NC"," RALEIGH AP                    "
"426","USW00013723 ","NC"," GREENSBORO AP                 "
"427","USW00013724 ","NJ"," ATLANTIC CITY MARINA          "
"428","USW00013726 ","VA"," BLACKSTONE FAA AP             "
"429","USW00013728 ","VA"," DANVILLE RGNL AP              "
"430","USW00013729 ","WV"," ELKINS- RANDOLPH CO AP        "
"431","USW00013730 ","MD"," FREDERICK WFMD                "
"432","USW00013731 ","VA"," FRONT ROYAL 6 NNW             "
"433","USW00013732 ","VA"," GORDONSVILLE FAA AP           "
"434","USW00013733 ","VA"," LYNCHBURG RGNL AP             "
"435","USW00013734 ","WV"," MARTINSBURG E W VIRGINIA RGNL "
"436","USW00013735 ","NJ"," MILLVILLE MUNI AP             "
"437","USW00013736 ","WV"," MORGANTOWN MUNI AP            "
"438","USW00013737 ","VA"," NORFOLK INTL AP               "
"439","USW00013738 ","WV"," PETERSBURG WB CITY            "
"440","USW00013739 ","PA"," PHILA INTL AP                 "
"441","USW00013740 ","VA"," RICHMOND INTL AP              "
"442","USW00013741 ","VA"," ROANOKE-BLACKSBURG RGNL AP    "
"443","USW00013742 ","VA"," URBANNA WB CITY               "
"444","USW00013743 ","VA"," WASHINGTON REAGAN NATL AP     "
"445","USW00013744 ","SC"," FLORENCE RGNL AP              "
"446","USW00013745 ","NC"," HATTERAS                      "
"447","USW00013746 ","NC"," ROCKY MT FAA AP               "
