index,0,1
35,Ô£Ø√º√™√¨ And Waffles Stout W/ Vanilla,Üêì And Waffles Stout W/ Vanilla
36,Ô£Ø√º√´√£Ô£Ø√º√®√∏ Goodbye Forever 12Oz,ÜëãÜèø Goodbye Forever 12Oz
37,Ô£Ø√º√´√£Ô£Ø√º√®√∏ Goodbye Forver,ÜëãÜèø Goodbye Forver
38,Ô£Ø√º√≠¬∞Singlecut 18 Watt 16Oz,Üí°Singlecut 18 Watt 16Oz
39,Ô£Ø√º√≠√©Gem Cutter 12Oz,Üíégem Cutter 12Oz
40,Ô£Ø√º√Æ¬Æ King Of The Hammer 12Oz,Üî® King Of The Hammer 12Oz
0,Bailey‚Äö√Ñ√¥S On Ice 50Ml,Bailey‚Äôs On Ice 50Ml
1,Brisket Chilli ‚Äö√Ñ√≤N‚Äö√Ñ√¥ Chips,Brisket Chilli ‚Äòn‚Äô Chips
2,Reggae Rice ‚Äö√Ñ√≤N‚Äö√Ñ√¥ Beans,Reggae Rice ‚Äòn‚Äô Beans
3,Ribs ‚Äö√Ñ√∫N‚Äö√Ñ√Π Wings,Ribs ‚Äún‚Äù Wings
4,¬¨¬£25 Little Tipsy Tea Ticket,¬£25 Little Tipsy Tea Ticket
5,¬¨¬£35 Big Tipsy Tea Ticket,¬£35 Big Tipsy Tea Ticket
0,**Baked Cr‚Àö¬Æme Brulee French Toast,**Baked Cr√®Me Brulee French Toast
1,Brown‚Äö√Ñ√¥S Court,Brown‚Äôs Court
2,Brown‚Äö√Ñ√¥S Court Cookies,Brown‚Äôs Court Cookies
3,Edmund‚Äö√Ñ√¥S Fruit Punch,Edmund‚Äôs Fruit Punch
4,Edmund‚Äö√Ñ√¥S Oast - Sour Fruit Punch,Edmund‚Äôs Oast - Sour Fruit Punch
5,Farmer‚Äö√Ñ√¥S Omelette And Frites,Farmer‚Äôs Omelette And Frites
6,Glass - Albari‚Àö¬±O,Glass - Albari√±O
7,Glass - O Fillo Da Condessa Albari‚Àö¬±O,Glass - O Fillo Da Condessa Albari√±O
8,John‚Äö√Ñ√¥S Island Tomato Pie,John‚Äôs Island Tomato Pie
9,Natalie‚Äö√Ñ√¥S 100% Grapefruit Juice,Natalie‚Äôs 100% Grapefruit Juice
10,Natalie‚Äö√Ñ√¥S Lemonade,Natalie‚Äôs Lemonade
11,Natalie‚Äö√Ñ√¥S Oj,Natalie‚Äôs Oj
12,Nueske‚Äö√Ñ√¥S Bacon,Nueske‚Äôs Bacon
13,"O Fillo Da Condesa - 2021 Albari‚Àö¬±O, Spain","O Fillo Da Condesa - 2021 Albari√±O, Spain"
14,Porter‚Äö√Ñ√¥S Petite,Porter‚Äôs Petite
15,Potter‚Äö√Ñ√¥S Sampler,Potter‚Äôs Sampler
16,Rancher‚Äö√Ñ√¥S Steak Omelette,Rancher‚Äôs Steak Omelette
17,Rosemary Sea Salt Fry Cup ‚Äö√¨√£,Rosemary Sea Salt Fry Cup ‚Ìã
18,Ros‚Àö¬© Lemonade Spritz,Ros√© Lemonade Spritz
19,San Pelegr‚Àö‚Â†N‚Äö√Ñ√¥S,San Pelegr√≠N‚Äôs
20,Scuby‚Äö√Ñ√¥S Fund,Scuby‚Äôs Fund
21,"Summer Water - Bubbly Ros‚Àö¬©, France","Summer Water - Bubbly Ros√©, France"
22,Tuesday Boar‚Äö√Ñ√¥S Head Turkey Sandwich,Tuesday Boar‚Äôs Head Turkey Sandwich
23,Vegetarian - Whipped Hummus Plate ‚Äö√¨√£,Vegetarian - Whipped Hummus Plate ‚Ìã
24,"Villaviva - 2020 Vegan Ros‚Àö¬©, France","Villaviva - 2020 Vegan Ros√©, France"
25,Wendy‚Äö√Ñ√¥S Cookies,Wendy‚Äôs Cookies
26,‚Äö√Ñ√∫Not Arby‚Äö√Ñ√¥S‚Äö√Ñ√Π Roast Beef Sandwich,‚Äúnot Arby‚Äôs‚Äù Roast Beef Sandwich
0,Caf‚Àö¬© Au Lait,Caf√© Au Lait
1,Dad‚Äö√Ñ√¥S Root Beer,Dad‚Äôs Root Beer
2,Don‚Äö√Ñ√¥T Be A Shit,Don‚Äôt Be A Shit
0,Hans' Jalape‚Àö¬±O & Cheddar,Hans' Jalape√±O & Cheddar
1,Hofbr‚Àö¬Ssu Dunkle,Hofbr√§U Dunkle
2,Hofbr‚Àö¬Ssu Sommerzwickl,Hofbr√§U Sommerzwickl
3,Ros‚Àö¬©,Ros√©
