canonical_name,variants,reasoning
Frankfurter,['Frankfurter'],
Fried Rice,"['Fried Rice', 'Kimchee, Bbq, Fried Rice', 'Ok Fried Rice']",
Fries/Tots,"['Bbq Fries', 'Chili Cheese Fries', 'Elote Fries', 'Fries', 'Garlic Fries', 'Hh Elote Fries', 'Kimchi Tots', 'Okonomiyaki Fries', 'Plain Fries', 'Stadium Fries', 'Stk No Fries', 'Truffle Tots']",
Garlic Soy Marinade,['Garlic Soy Marinade'],
Ginger Miso Sausage,"['Fried G.Miso Stick', 'Ginger Miso', 'Ginger Miso Sausage']",
Guisantes Plate,"['Guisantes Plate Small', 'Guisantes Plates Large']",
Hot Honey Wings,"['Hot Honey Wings', 'Hot Honey Wings With Fries']",
Huff N Puff Mac,['Huff N Puff Mac'],
Island Po Boy,"['Island Po Boi', 'Island Po Boiii', 'Island Po Boii']",
Italian Sandwich,['Italian Sandwich'],
Italian Sausage,"['Italian', 'Italian Flat Bread', 'Italian Sausage', 'Italian Sticks']",
Japanese Curry,['Japanese Curry'],
Jerky,"['Char Siu Jerky', 'Kalbi Jerky', 'Pipikaula Jerky', 'Prime Rib Jerky']",
Kalbi Sausage,['Kalbi Sausage'],
Kamaboko Dip,['Kamaboko Dip'],
Kimchee,"['Hh Kimchee Quesadilla', 'Kimchee', 'Kimchee Quesadilla', 'Kimchi', 'Kimchi/Pickled Daikon']",
Loaded Nachos,['Loaded Nachos'],
Mandoo,['Mandoo'],
Mini Bites,['Mini Bites'],
Mini Manapua,['Mini Manapua'],
Og Salami Sticks,['Og Salami Sticks'],
Oriental Dressing,['Oriental Dressing'],
Pasta Salad,"['Pasta Salad', 'Potato Salad']",
Pepperoni,['Pepperoni'],
Pickled Mango,['Pickled Mango'],
Pizza,"['""Hokulani"" Pizza', '""Kirei"" Pizza', '""The Row"" Pizza', 'Island Pizza', 'Pizza', 'Pizzadilla']",
Plate Lunch,"['Daily Plate Lunch', 'Plate Lunch']",
Poke,['Poke'],
Polish Kielbasa,"['Kielbasa', 'Kielbasa Sausage', 'Polish Kielbasa']",
Portuguese Sausage,"['Portuguese Salami', 'Portuguese Sausage']",
Pumpkin Crunch,['Pumpkin Crunch'],
Salad,"['Salad', 'Byo Salad']",
Salami,"['Deli Salami', 'Salami', 'Salami Bites']",
Salmon Dip,['Salmon Dip'],
Sauce,['Bbq Sauce'],
Sauerkraut,['Sauerkraut'],
Sausage,"['Gm No Sausage', 'Plain Sausage', 'Raw Andouille Sausage', 'Sausage Single', 'Sausage Topping', 'Sausages']",
Sausage Musubi,['Sausage Musubi'],
Shrimp Ceviche,['Shrimp Ceviche'],
Sliders,"['Bbq Bacon Sliders', 'Hh Bbq Bacon Sliders', 'Sliders']",
Small Bread Pudding,['Small Bread Pudding'],
Smokey Sticks,['Smokey Sticks'],
Soppressata,['Soppressata'],
Spicy Korean Sausage,"['Spicy Korean', 'Spicy Korean Sausage']",
Steak,['Steak'],
Steak Mushroom Sausage,['Steak Mushroom Sausage'],
Sweet Potato Taro Chips,['Sweet Potato & Taro Chips'],
Taegu,['Taegu'],
Thai Chicken Sausage,"['Thai', 'Thai Chicken Sausage', 'Thai Sausage']",
Thanksgiving Bento,['Thanksgiving Bento'],
Tomato Salad,['Tomato Salad'],
Wed Special,"['$5 Wed Special', 'Wed Special']",
Wings,"['Bbq Fried Chicken Wings', 'Furikake Wings', 'Garlic Parm Wings', 'Garlic Parmesan Fried Wings', 'Hh Korean Fried Chicken Wings', 'Hh Plain Chicken Wings', 'JalapeñO Honey Fried Chicken Wings', 'Korean Fried Chicken Wings', 'Lemongrass Chicken Wings', 'Lemongrass Fried Chicken Wings', 'Plain Chicken Wings', 'Sweet And Spicy Wings']",
Yakisoba,['Yakisoba'],
catering_takeout,"['Cater Bbq Rack Ribs', 'Cater Char Siu Fried Noodles', 'Cater Corn', 'Cater Fried Noodles', 'Cater Fried Noodles (Half)', 'Cater Fried Rice', 'Cater Fries', 'Cater Grilled Steak', 'Cater Grilled Steak (Half)', 'Cater House Sausage', 'Cater Lemon Cookie', 'Cater Lemon Cookies (Half)', 'Cater Noodles', 'Cater Rice', 'Cater Rice (Half)', 'Cater Rolls', 'Cater Salad', 'Cater Salad (Half)', 'Cater Sausage', 'Cater Sausages (Half)', 'Cater Sliders', 'Cater Steak', 'Cater Steak (Half)', 'Cater Teriyaki Beef', 'Cater Teriyaki Beef (Half)', 'Cater Wings', 'Cater Wings (Half)']",Catering/bulk items
to_remove,"['15% Gratuity', 'Bag', 'Bbq Chicken Frozen', 'Breakfast Frozen', 'Breakfast Sausage Service Charge', 'Cater Set-Up/Utensils/Plateware/Napkins', 'Char Siu Frozen', 'Char Siu Sausage Service Charge', 'Chicken Pesto Frozen', 'Chorizo Frozen', 'Chorizo Service Charge', 'Dipping Sauce', 'Egift Card', 'Extra', 'Extra Bacon', 'Extra Kimchee', 'Extra Onion Rings', 'Extra Sauce', 'Frozen Bbq Chicken Sausages', 'Frozen Breakfast', 'Frozen Breakfast Sausage', 'Frozen Char Siu', 'Frozen Char Siu Sausage', 'Frozen Chorizo', 'Frozen Chorizo Sausage', 'Frozen Ginger Miso', 'Frozen Italian', 'Frozen Italian Sausage', 'Frozen Polish Kielbasa', 'Frozen Spicy Korean', 'Fzn Ginger Miso', 'Garlic Dipping Sauce For Pizza', 'Ginger Miso Frozen', 'Ginger Miso Sausage Service Charge', 'Italian Frozen', 'Kaahele Gala Stipend', 'Mother’s Day Dessert Box', 'Polish Kielbasa Frozen', 'Room Rental Fee', 'Set Up Fee', 'Set-Up/Plates/Utensils/Napkins', 'Spicy Korean Frozen', 'Sub Bbq Fries', 'Sub Okonomiyaki Fries', 'Tote Bag', 'Tote Bags', 'Upcharge', 'Utensils', 'Utensils,Plates,Napkins,Set-Up', 'Utensils/Napkins/Plates/Set-Up', 'Utensils/Plates/Napkins/Set Up', 'Vouchers', 'Kids Drink', '2 Baked Goods', '3 Baked Goods', '4 Baked Goods', '5 Baked Goods', '5 Wed Special', '6 Baked Goods', 'Island Po Boii']","Non-food items (fees, bags, frozen retail, vouchers) to be removed from analysis"
Blt,['Blt'],
Fruit Cup,['Fruit Cup'],
Kids Meal,['Kids Meal'],
