canonical_name,variants,reasoning
Breakfast Banh Mi,['Breakfast Banh Mi'],Individual item (form factor split)
Breakfast Buns,['Breakfast Buns'],Individual item (form factor split)
Breakfast Egg Roll,['Breakfast Egg Roll'],Individual item (form factor split)
Breakfast Egg Rolls,['Breakfast Egg Rolls'],Individual item (form factor split)
Breakfast Fries,['Breakfast Fries'],Individual item (form factor split)
Breakfast Kolaches Potatoes,['Breakfast Kolaches & Potatoes'],Individual item (form factor split)
Breakfast Nachos,['Breakfast Nachos'],Individual item (form factor split)
Breakfast Pizza,['Breakfast Pizza'],Individual item (form factor split)
Breakfast Pork Nachos,['Breakfast Pork Nachos'],Individual item (form factor split)
Breakfast Tacos,['Breakfast Tacos'],Individual item (form factor split)
Breakfast Tostado,['Breakfast Tostado'],Individual item (form factor split)
Breakfast Wrap,['Breakfast Wrap'],Individual item (form factor split)
Brioche Sticky Bun,['Brioche Sticky Bun'],Individual item (form factor split)
Brisket,"['Bbq Brisket Taco', 'Brisket & Brie Melt', 'Brisket & Chips', 'Brisket Benedict', 'Brisket Brie Crostini', 'Brisket Jenchan', 'Brisket Melt', 'Brisket On Biscuit', 'Brisket Salad', 'Brisket Taco', 'Brisket Tacos']",Brisket variants.
Brisket Mac And Cheese,"['Brisket Mac And Cheese', 'Mac And Cheese', 'Boston Butt Mac Cheese', 'Brisket Mac Cheese']","Same item, And removed."
Broccoli Banchan,['Broccoli Banchan'],Individual item (form factor split)
Broccolini,['Broccolini'],Individual item (form factor split)
Brussels Sprouts,['Brussels Sprouts'],Individual item (form factor split)
Burger,['Black Bean Patty Melt'],Split from mixed-category Burger - neutral items
Burrata Fennel,['Burrata Fennel'],Individual item (form factor split)
Burrata Herbs,['Burrata & Herbs'],Individual item (form factor split)
Butter Beans,['Butter Beans'],Individual item (form factor split)
Butternut Squash,['Butternut Squash'],Individual item (form factor split)
Cabbagetown Reviver,['Cabbagetown Reviver'],
Cacio E Pepe,['Cacio E Pepe'],Individual item (form factor split)
Caesar Salad,"['Caesar Salad', 'Chicken Salad']",Individual item (form factor split)
Cantonese Mahi Mahi,['Cantonese Mahi Mahi'],"Same fish dish, abbreviated name."
Carpaccio,['Carpaccio'],Individual item (form factor split)
Char Siu Bao,"['Char Siu Bao', 'Char Sui Bao']","Same dish, spelling variant"
Charred Baby Vidalia,['Charred Baby Vidalia'],Individual item (form factor split)
Charred Caeser With Soft Shell Crab,['Charred Caeser With Soft Shell Crab'],Individual item (form factor split)
Charred Vidalia,['Charred Vidalia'],Individual item (form factor split)
Charred Vidalia Onion,['Charred Vidalia Onion'],Individual item (form factor split)
Cheese Bread,"['Cheese Bread', 'Cheese Slice N Beer', 'Cheese Slice N Highlife', 'Pepp Slice N Beer', 'Pepp Slice N Highlife']",Individual item (form factor split)
Cheong Fun,"['Cheong Fun', 'Shrimp Cheong Fun']",Cheong fun variants.
Chicken,"[""Caroline'S Coca Cola & Peanuts Wings"", 'Chicken Thigh & Arugula', 'Creamy Chicken & Rice', ""General Tsao'S"", 'Pollo Pibil | Orange Chicken', 'Side Leg Quarter', 'Sweet & Sour Chicken Or Tofu', 'Chicken Fajitas', 'Chicken Ricotta Dumplings', 'Creamy Chicken Rice', 'Sweet Sour Chicken Or Tofu']",Split from mixed-category Chicken - neutral items
Chickpeas,['Chickpeas'],Individual item (form factor split)
Chilaguiles Verde,['Chilaguiles Verde'],Individual item (form factor split)
Chilaquiles,['Chilaquiles'],Individual item (form factor split)
Chili,"['Award Winning Jiayou Chili', 'Chili', 'Chili Crisp', 'Chili Market Quart', 'Grass-Fed Chili', 'Jiayou Chili']",Chili items
Chili For Cabbagetown,['Chili For Cabbagetown'],"Same dish, naming variants"
Chinese Greens,"['Bok Choy', 'Chinese Broccoli Slaw', 'Flowering Chives', 'Long Life Bok Choy', 'Snow Peas', 'Yu Choy', 'Yum Bok Choy', 'Yum Cha Yu Choy', 'Yum Choy']",Chinese greens
Chinese Steamed Egg,['Chinese Steamed Egg'],Individual item (form factor split)
Chinese Tomato Stir Fry,['Chinese Tomato Stir Fry'],Individual item (form factor split)
Chips,['Zuchini Chips'],Zucchini chips
Chips & Salsa,"['Chips & Salsa', 'Chips And Salsa']","Same dish, ampersand variant"
Chochoyotes,['Chochoyotes'],Individual item (form factor split)
Chocolate Cake,"['Chocolate Cake', 'Chocolate Sponge Cake', 'Chocolate Terrine', 'Chocolate Torte', 'Chocolate Torte W/ Maple Pecan & Pom.', 'Gf Choc Torte', 'Gf Chocolate Torte', 'Sexual Chocolate', 'Cake Slice', 'Chocolate Coffee Entremet']",Chocolate cake variants.
Chop N Eggs,['Chop N Eggs'],Individual item (was in misc group)
Coco Curry,"['Coco Curry Bowl', 'Coco Curry Noodle', 'Coco Curry Pizza', 'Coco Curry Pizza (Tofu Or Chicken)', 'Coco Curry Taco']",Coconut curry variants.
Coffee Cake,['Coffee Cake'],Individual item (form factor split)
Cookie,"['Almond Cookies', 'Miso Chocolate Chip Cookies', 'Miso Chocolate Chip Cookies 2Pack', 'Mousse Cookie', 'Cookie']",Cookie variants.
Corn Fritters,"['Corn Fritters', 'Event Corn Fritters', 'Hh Corn Fritters']",Corn fritter variants.
Cornbread,"['Cornbread', 'Cornbread Pudding & Collards']",Individual item (form factor split)
Crab,"['Crab Cake', 'Crab Cake & Lettuce', 'Crab Fingers', 'Crab Mac N Cheese', 'Crab Noodles', 'Lump Crab & Jumbo Shrimp Salad', 'Lump Crab Cake', 'Lump Crab Cake Appetizer', 'Lump Crab Scramble', 'Market Crab Cake', 'Popcorn Crab', 'Snow Crab Cluster', 'Soft Shell Crab Charred Caesar', 'Soft Shell Crab French Fries', 'Soft Shell Crab Fries', 'Tropical Crab & Shrimp Salad', 'Crab Cake Lettuce']",Crab variants.
Cranberry Toast,"['Cranberry Toast', 'Cranberrytoast']","Same dish, formatting variant (cranberrytoast)"
Crappie,['Crappie'],Individual item (form factor split)
Crawfish Hand Pies,"['Crawfish Hand Pies', 'Crawfish Handpies']","Same dish, spacing variant"
Creole,['Creole'],Individual item (was in misc group)
Crispy Asian Wings,"['Crispy Asian Shrimp Or Wings', 'Crispy Asian Wings', 'Crispy Asian Wings Or Shrimp', 'Milltown Crispy Asian Wings', 'Wings (Crispy Asian Or Buffalo)']",Same wings item with combo options consolidated.
Crispy Lentil Fritters,['Crispy Lentil Fritters'],Individual item (form factor split)
Crispy Potatoes,"['Crispy Potatoes & Zhug', 'Crispy Smashed Potato & Egg', 'Crispy Smashed Potato Egg']",
Crispy Shaved Okra,['Crispy Shaved Okra'],Individual item (form factor split)
Croissant,['Croissant'],Individual item (form factor split)
Crostini,"['Brisket Brie Crostini', 'Crostini', 'Pate Crostini']",Crostini variants.
Crunch Wrap,['Crunch Wrap'],Individual item (form factor split)
Cuban,"['Cuban Lunch Special', 'Cuban Pork Lettuce Wraps', 'Cuban Sandwich', 'Cuban Sandwich Plantains & Salad', 'Hh Cuban']",Cuban variants.
Curry,['Curry'],Individual item (was in misc group)
Curry Dal Bowl,['Curry Dal Bowl'],Individual item (form factor split)
Custom Taco Bar,['Custom Taco Bar'],Individual item (form factor split)
Deviled Eggs,"['Deviled Eggs', 'Happy Hour Deviled Eggs', 'Soy Sauce Deviled Eggs']",Deviled eggs variants.
Donut,"['Donut', 'Five Spice Donut', 'Lemon Curd Donut', 'Miso Donut', 'One Hot Donut', 'Yum Cha Donut']",Donut variants.
Duck,"['3 Day Hoisin Duck', 'Duck Bao Mi', 'Duck Confit', 'Duck Duck Mousse', 'Duck Fries', 'Duck Prosciutto', 'Duck Salad', 'Duck Tacos (3)', 'Hoisin Duck', 'Hoisin Duck Salad', 'Orange Duck', 'Smoked Duck', 'Smoked Duck Taco', 'Soy Orange Glazed Duck Confit', 'What The Duck Pizza']",Duck variants.
Dumplings,"['""Dumplings""', 'Chicken & Ricotta Dumplings', 'Deep Fried Pot Stickers', 'Dumplings', 'Dumplings Yum Cha', 'Fried Potstickers', 'Shumai', 'Shumai Appetizer', 'Soup Dumplings', 'Steamed Dumplings', 'Wealthy Dumplings (6)', 'Yum Cha Dumplings', 'Yum Cha Pot Stickers', 'Yum Cha Shumai', 'Chicken Ricotta Dumplings']","Same item, quotes removed."
Edamame,"['Edamame', 'Happy Hour Edamame', 'Orange Ginger Edamame']",Edamame variants.
Eeyore'S Meadow,"[""Eeyore'S Meadow""]",Individual item (was in misc group)
Egg (Single),"['Add One Egg', 'Egg (Single)', 'Side One Egg']",Individual item (form factor split)
Egg Mik-Muffin (M),['Egg Mik-Muffin (M)'],Individual item (form factor split)
Egg Roll,"['Breakfast Egg Roll', 'Breakfast Egg Rolls', 'Brunch Egg Roll', 'Chomp Egg Rolls', 'Egg Rolls', 'Egg Rolls (Best Damn Sauce)', 'Ham, Egg, & Cheese Egg Rolls', 'Milltown Egg Rolls', 'Pimiento Cheese Egg Rolls', 'Pimiento Cheese Eggs Rolls', 'Pizza Egg Rolls', 'Short Rib Egg Roll', 'Vietnamese Pork Egg Roll (1)']",Split from mixed-category Egg Roll - neutral items
Eggplant Shakshuka,['Eggplant Shakshuka'],Individual item (was in misc group)
Eggs (2),"['Eggs (2)', 'Eggs Bread & Salad']",Individual item (form factor split)
Eggs Florentine,['Eggs Florentine'],Individual item (form factor split)
Eggs Salad Toast,['Eggs Salad Toast'],Individual item (form factor split)
Elote Corn,"['Elote Corn', 'Charred Corn, Tom. Vidalia', 'Smoked Corn, Tom. Vidalia']",Individual item (form factor split)
Empanadas,['Empanadas'],Individual item (form factor split)
Endive Will Always Love You,['Endive Will Always Love You'],Individual item (was in misc group)
Event Pimento (1),['Event Pimento (1)'],Individual item (was in misc group)
Falafel,"['Falafel', 'Falafel Appetizer', 'Falafel Pita']",Falafel variants.
Famiglia Italian Night,['Famiglia Italian Night'],Individual item (was in misc group)
Family Suppers,['Family Suppers'],Individual item (was in misc group)
Farm Plate,['Farm Plate'],Individual item (was in misc group)
Farm Salad,['Farm Salad'],Individual item (form factor split)
Fennel Radish,['Fennel & Radish'],Individual item (form factor split)
Fish & Chips,"['Fish & Chips', 'Fish & Chips (Street Fries)', 'Fish And Chips', 'Fish Chips (Street Fries)']","Same dish, ampersand and formatting variants"
Fish Fish,"['Ahi Tuna', 'Ahi Tuna Verde', 'Black Cod Over Kholrabi', 'Cantonese Market Fish', 'Fish Of The Day', 'Fish Pho', ""Fish Po' Boy"", 'Mahi Mahi', 'Mahi Mahi Special', 'Red Snapper (Fish Of The Day)', 'Seared Tuna', 'Smoked Black Cod Lettuce Cup', 'Smoked Sablefish', 'Snapper Pho', 'Whole Snapper']",Split from mixed-category Fish - fish items
Fish Noodles,['Garlic Tahini Rice Noodles'],Split from mixed-category Noodles - fish items
Fish Pork,['Coddled Pork'],Split from mixed-category Pork - fish items
Fish Poutine,['Catfish Poutine'],Split from mixed-category Poutine - fish items
Fish Salad,"['Mahi Mahi Salad', 'North Carolina Trout Salad', 'Smoked Salmon Salad', 'Smoked Trout Endive Salad', 'Spec Salad W Mahi']",Split from mixed-category Salad - fish items
Fish Taco,"['Cantonese Mahi', 'Cantonese Mahi Mahi', 'Fried Catfish Taco', 'Piri Piri Fish Taco', 'Yellowfin Tuna Taco']",Split from mixed-category Taco - fish items
Fish Tostada,['Ahu Tuna Tostada'],Split from mixed-category Tostada - fish items
Flat Shoals,['Flat Shoals'],Individual item (was in misc group)
Flowering Chives,"['Flowering Chives & Cipollini', 'Flowering Chives & Cippolinis']",
Fm,['Fm'],Individual item (was in misc group)
Frangipane,['Frangipane & Peach Tart With Sorrel Pastry'],
French Tacos,['French Tacos'],Individual item (form factor split)
French Toast,"['Apple French Toast', 'Cranberry Walnut French Toast', 'French Toast', 'French Toast Bites', 'French Toast Points', 'French Toast Sticks', 'Guava Queso French Toast', 'Hong Kong French Toast', 'Stuffed French Toast']",French toast variants.
Fried Blue Crab Claws,['Fried Blue Crab Claws'],Individual item (form factor split)
Fried Chicken,"['Almond Fried Chicken', 'Almond Gravy Chicken And Mashed Potatoes', 'Almond Gravy Fried Chicken', 'Asian Southern Fried Chicken', 'Fried Chic & Eggs', 'Fried Chicken', 'Fried Chicken & Eggs', 'Fried Chicken & Gravy', 'Fried Chicken & Szechuan Honey', 'Fried Chicken Friday', 'Fried Chicken Friday (Gluten Free Option!)', 'Fried Chicken Special (Gluten Free Option!)', 'Fried Chicken Taco', 'Fried Chicken Thigh', 'Fried Chicken Waffle', 'Fried Chicken, Biscuit', 'Fried Chicken, Gravy, Egg', 'Hot Fried Chicken Sliders', 'Fried Chic Eggs', 'Fried Chicken Gravy', 'Fried Chicken Szechuan Honey']",Fried chicken variants.
Fried Crappie,['Fried Crappie'],Individual item (form factor split)
Fried Okra App,['Fried Okra App'],Individual item (form factor split)
Fried Rice,"['Achiote Pork Fried Rice', 'Avocado Fried Rice', 'Bbq Chicken Or Kimchi Fried Rice', 'Bbq Chicken, Kimchi, Or Tofu Fried Rice', 'Drunk Mushroom Fried Rice', 'Fried Rice', 'Fried Rice & Flank Steak', 'Fried Rice Entree', 'Fried Rice Pork Belly & Eggs', 'Fried Rice Upcharge', 'Fried Rice W/ Tenderloin Tips', 'Fried Rice With Flank Steak, Bbq Chicken, Tofu, Or Kimchi', ""Heap O' Fried Rice"", ""Heap O' Fried Rice & Mushrooms"", 'Kimchi Fried Rice', 'Lap Cheong Fried Rice', 'Mongolian Beef Fried Rice', 'Pork Fried Rice', 'Pork Fried Rice Entree', 'Shiitake Fried Rice', 'Side Of Fried Rice', 'Spam Fried Rice', 'Steak, Fried Rice, & Poached Yolk', 'Tenderloin Tips & Fried Rice', 'Thai Chili Fried Rice Brunch', 'Vietnamese Pork Fried Rice Brunch', 'Fried Rice W Tenderloin Tips', ""Heap O' Fried Rice Mushrooms"", 'Tenderloin Tips Fried Rice']",Split from mixed-category Fried Rice - neutral items
Fried Shumai Rolls,['Fried Shumai Rolls'],Individual item (form factor split)
Fries,"['Breakfast Fries', 'Chili Fries', 'Fries', 'Loaded Street Fries', 'Milltown Loaded Street Fries', 'Nacho Fries', 'Sesame Street Fries', 'Street Fries', 'Street Fries Side', 'Loaded Fries']",Split from mixed-category Fries - neutral items
Frittata,['Frittata'],Individual item (form factor split)
Frog Legs,['Frog Legs'],Individual item (form factor split)
Funny Egg,['Funny Egg'],Individual item (form factor split)
Gado Bowl,['Gado Bowl'],Individual item (form factor split)
Gado Gado Lettuce Wraps (3),['Gado Gado Lettuce Wraps (3)'],Individual item (form factor split)
Gado-Gado,"['Gado-Gado', 'Gado-Gado App']",Same dish as appetizer
Galbi Banchan,['Galbi & Banchan'],Individual item (form factor split)
General Provisions,"['General Provisions', 'Gerneral Provisions']",
Georgia Lady Peas (Family Size),['Georgia Lady Peas (Family Size)'],Individual item (form factor split)
Georgia On My Mind,['Georgia On My Mind'],Individual item (was in misc group)
Ginger Curry Bowl,['Ginger Curry Bowl'],Individual item (form factor split)
Gingerbread Layer Cake,['Gingerbread Layer Cake'],Individual item (form factor split)
Gochujang,['Gochujang'],Individual item (form factor split)
Gochujang Collards,['Gochujang Collards'],Individual item (form factor split)
Good Fortune Orange Tart,['Good Fortune Orange Tart'],Individual item (form factor split)
Gorgonzola Grapes,['Gorgonzola Grapes'],Individual item (form factor split)
Gorgonzola Spinach Dip,['Gorgonzola Spinach Dip'],Individual item (form factor split)
Grandma'S Pound Cake,"[""Grandma'S Pound Cake""]",Individual item (form factor split)
Grilled Chanterelles Salad,['Grilled Chanterelles Salad'],Individual item (form factor split)
Grilled Cheese,"['Grilled Cheese', 'Grilled Cheese & Pomodoro', 'Grilled Cheese N Arugula Sandwich', 'Potato Egg Salad Pimiento Grilled Cheese', 'Spec Grilled Cheese (Slainte)', 'Grilled Cheese Pomodoro']",Grilled cheese variants.
Grilled Cornbread,['Grilled Cornbread'],Individual item (form factor split)
Grits,"['Cheese Grits & Beet Greens', 'Cheesy Grit Cake', 'Fried Catfish & Grits', 'Fried Tofu & Grits', 'Grits', 'Cheese Grits Beet Greens', 'Maple Sausage Grits', 'Mongolian Beef Grits']",Split from mixed-category Grits - neutral items
Guacamole,['Guacamole'],Individual item (form factor split)
Hake Potatoes,['Hake & Potatoes'],Individual item (form factor split)
Hh Wings,['Hh Wings'],"Same item, word order reversed."
Hoisin Duck Taco,['Hoisin Duck Taco'],"Same taco, quantity variant"
Homestyle Pancake,"['Homestyle Pancake', 'Pancake']",Individual item (form factor split)
Honeybun Cake,['Honeybun Cake'],Individual item (form factor split)
Hong Shao Rou,['Hong Shao Rou'],Individual item (form factor split)
Hummus Such,"['Falafel & Hummus Salad', 'Hummus & Such']",Individual item (form factor split)
Ice Cream,"['Ice Cream', 'Ice Cream And Apples', 'Ice Cream Antisocial', 'Ice Cream Antisocial Boozy', 'Ice Cream Sandwich', 'Miso Ice Cream Sandwich']",Ice cream variants.
Iceberg Wedge,['Iceberg Wedge'],Individual item (form factor split)
Jalapeno Poppers,['Jalapeno Poppers'],Individual item (form factor split)
Jen Chan Lunch,['Jen Chan Lunch'],Individual item (form factor split)
Jenchan,"['Jen Chan', 'Jen Chan Lunch', 'Jenchan', 'The Jenchan']","Same dish, spacing/article variant"
Jook,"['Jook', 'Jook Brunch', 'Lap Cheong Jook']",Split from mixed-category Jook - neutral items
Juevos Rancheros,['Juevos Rancheros'],Individual item (form factor split)
Justaco,"['Justaco', 'The Justaco']","Same dish, spacing/article variant"
Justaco Yum Cha,['Justaco Yum Cha'],Individual item (form factor split)
Keepin' It Classy,"[""Keepin' It Classy""]",Individual item (was in misc group)
Kid'S Spaghetti,"[""Kid'S Spaghetti""]",Individual item (form factor split)
Kimchi Side,['Kimchi Side'],Same side item.
Kolache,"['Event Mini Kolaches', 'Kolache', 'Kolaches']",Kolache variants.
Lamb Bao,['Lamb Belly Bao'],Split from mixed-category Bao - lamb items
Lamb Biscuit,"['Biscuit, Lamb, Syrup']",Split from mixed-category Biscuit - lamb items
Lamb Eggs/Breakfast,"['Lamb Belly & Egg', 'Lamb Belly Egg']",Split from mixed-category Eggs/Breakfast - lamb items
Lamb Entrees,['Lamb Kofta'],Split from mixed-category Entrees - lamb items
Lap Cheong Focaccia,['Lap Cheong Focaccia'],Individual item (form factor split)
Lasagna,"['House Lasagna', 'Lamb Lazzagna', 'Lasagna', 'Lasagna Enchilada', 'Lasagna Sauce (Quart)', 'Lasagna Single Portion', 'Lazzagna', 'Lazzagna Pizza', 'Market Lasagna']",Lasagna variants.
Lemon Blueberry Cake,['Lemon Blueberry Cake'],Individual item (form factor split)
Lettuce Wrap,['Lettuce Wrap'],Individual item (form factor split)
Little Neck Clams,['Little Neck Clams'],Individual item (form factor split)
Lo Mai Gai,['Lo Mai Gai'],Individual item (form factor split)
Lo Mein,"['Jumbo Ginger Beer Or Chicken Shrimp Lo Mein', 'Jumbo Ginger Beer Or Fried Chicken Shrimp Lo Mein', 'Jumbo Ginger Beer Shrimp Lo Mein', 'Lo Mein', 'Lo Mein Yum Cha', 'Mushroom Lo Mein']",Lo mein variants.
Local Lettuce Radish,['Local Lettuce & Radish'],Individual item (form factor split)
Low Country Charcuterie,['Low Country Charcuterie'],Individual item (form factor split)
Lunchables,['Lunchables'],Individual item (form factor split)
Mac & Cheese,"['Boston Butt Mac & Cheese', 'Boston Butt Mac And Cheese', 'Brisket  Mac & Cheese', 'Brisket Mac & Cheese', 'Brisket Mac And Cheese', 'Crab Mac N Cheese', 'Mac & Cheese', 'Mac & Cheese Balls', 'Mac & Chs. Balls', 'Mac And Cheese', 'Mac N Cheese', 'Market Smoked Gouda And Tillamook Mac & Cheese', 'Pork Belly Mac And Cheese', 'Pork Mac N Cheese', 'Pork Shoulder  Mac & Cheese', 'Pork Shoulder Mac & Cheese', 'Smoked Gouda & Nr Ale Mac & Cheese', 'Special Mac N Cheese', 'Special Mac N Cheese + Ball', 'Spicy Mac & Cheese', 'Mac Cheese Balls', 'Mac Chs. Balls', 'Market Smoked Gouda And Tillamook Mac Cheese', 'Special Mac N Cheese Ball']","Same dish, ampersand/formatting variants"
Mac Cheese,"['Special Mac N Cheese', 'Mac Cheese Balls', 'Mac Chs. Balls', 'Market Smoked Gouda And Tillamook Mac Cheese', 'Special Mac N Cheese Ball']",Split from mixed-category Mac Cheese - neutral items
Maggi,['Maggi'],Individual item (form factor split)
