Week,Big Bob Bratwurst,Warm Bavarian Pretzel,Hans Jalapeno & Cheddar,Helgas Giant Kelbassi,Big City Beef Frank,German Potato Salad,Organic Chicken,Potato Chips,Veggie Wurst,Dirtyface Beer Wurst,Turkey Dog,Weisswurst,Beyond Sausage,Bavarian Cream Of Potato Soup,Chili Con Carne,Soup,Currywurst,Chicken,Bockwurst,Vegan Soup,Add Ons,Veggie Soup,Chili,Vegan Chili,Gingerbread Cookie,Apple Slices,Smoked Chicken & Apple,Chicken Sausage,Spinach Organic Chicken,Large Sauerkraut - 8Oz Bowl,Italian Organic Chicken,Gluten Free Bun,Organic Chicken Sausage,Mediterranean Chicken Sausage,Curt'S Currywurst
2019-03-10 00:00:00-08:00,777.0,329.0,213.0,141.0,94.0,33.0,87.0,50.0,58.0,109.0,30.0,,,,,52.0,69.0,69.0,21.0,,1.0,23.0,15.0,,,3.0,,,,,,,,,
2019-03-17 00:00:00-07:00,640.0,293.0,178.0,154.0,75.0,71.0,80.0,51.0,52.0,82.0,36.0,,,,,42.0,66.0,75.0,27.0,5.0,4.0,13.0,16.0,,,10.0,,,,,,,,,
2019-03-24 00:00:00-07:00,789.0,481.0,196.0,168.0,162.0,119.0,83.0,81.0,60.0,103.0,42.0,,,,,81.0,70.0,48.0,46.0,42.0,6.0,13.0,19.0,,,12.0,,,,,,,,,
2019-03-31 00:00:00-07:00,1217.0,555.0,274.0,218.0,207.0,130.0,108.0,70.0,91.0,139.0,90.0,,,,,75.0,84.0,97.0,57.0,29.0,6.0,9.0,30.0,,,18.0,,,,,,,,,
2019-04-07 00:00:00-07:00,635.0,636.0,165.0,133.0,205.0,210.0,93.0,198.0,83.0,122.0,96.0,,,,,98.0,106.0,57.0,75.0,,24.0,42.0,42.0,,,28.0,,,,,,,,,
2019-04-14 00:00:00-07:00,696.0,650.0,132.0,104.0,200.0,142.0,76.0,143.0,110.0,45.0,75.0,,,,,124.0,59.0,28.0,57.0,,19.0,55.0,39.0,,36.0,24.0,,,,,,,,,
2019-04-21 00:00:00-07:00,523.0,456.0,75.0,81.0,130.0,143.0,58.0,109.0,91.0,65.0,36.0,,,,,86.0,34.0,35.0,65.0,,6.0,46.0,22.0,,44.0,24.0,,,,,,,,,
2019-04-28 00:00:00-07:00,963.0,673.0,169.0,167.0,172.0,156.0,78.0,115.0,118.0,93.0,70.0,,,,,99.0,110.0,53.0,61.0,,16.0,48.0,18.0,,57.0,23.0,,,,,,,,,
2019-05-05 00:00:00-07:00,755.0,513.0,146.0,172.0,125.0,163.0,59.0,108.0,103.0,84.0,36.0,,,,,61.0,80.0,58.0,73.0,,17.0,33.0,20.0,,56.0,12.0,,,,,,,,,
2019-05-12 00:00:00-07:00,817.0,498.0,156.0,149.0,197.0,149.0,83.0,118.0,106.0,64.0,75.0,,,,,34.0,56.0,37.0,70.0,,7.0,29.0,11.0,,35.0,15.0,,,,,,,,,
2019-05-19 00:00:00-07:00,493.0,369.0,116.0,122.0,101.0,135.0,75.0,113.0,81.0,71.0,60.0,,,,,51.0,57.0,42.0,41.0,,18.0,23.0,8.0,,48.0,20.0,,,,,,,,,
2019-05-26 00:00:00-07:00,605.0,511.0,128.0,132.0,128.0,137.0,69.0,107.0,144.0,66.0,66.0,,,,,90.0,69.0,43.0,72.0,,6.0,46.0,31.0,,52.0,22.0,,,,,,,,,
2019-06-02 00:00:00-07:00,1020.0,737.0,229.0,227.0,165.0,235.0,143.0,171.0,148.0,139.0,80.0,,,,,38.0,95.0,103.0,87.0,,12.0,28.0,15.0,,72.0,37.0,,,,,,,,,
2019-06-09 00:00:00-07:00,1146.0,824.0,244.0,231.0,195.0,291.0,124.0,179.0,91.0,128.0,110.0,,32.0,,,91.0,94.0,86.0,89.0,,11.0,49.0,32.0,,72.0,45.0,,,,,,,,,
2019-06-16 00:00:00-07:00,1260.0,604.0,313.0,249.0,276.0,275.0,116.0,192.0,107.0,163.0,95.0,,59.0,,,57.0,98.0,73.0,85.0,,9.0,23.0,14.0,,27.0,32.0,,,,,,,,,
2019-06-23 00:00:00-07:00,1085.0,663.0,238.0,226.0,221.0,161.0,128.0,146.0,114.0,134.0,58.0,,21.0,,,74.0,72.0,93.0,93.0,,6.0,26.0,26.0,,54.0,37.0,,,,,,,,,
2019-06-30 00:00:00-07:00,1512.0,717.0,321.0,324.0,264.0,155.0,145.0,87.0,128.0,202.0,78.0,,31.0,,,65.0,139.0,86.0,104.0,,7.0,31.0,16.0,,61.0,19.0,,,,,,,,,
2019-07-07 00:00:00-07:00,1236.0,797.0,273.0,280.0,282.0,232.0,137.0,162.0,110.0,161.0,133.0,,70.0,,,78.0,94.0,97.0,82.0,,15.0,47.0,31.0,,53.0,48.0,,,,1.0,,,,,
2019-07-14 00:00:00-07:00,1538.0,880.0,285.0,248.0,302.0,229.0,153.0,150.0,114.0,132.0,127.0,,72.0,,,74.0,120.0,122.0,92.0,,9.0,40.0,17.0,,37.0,26.0,,,,,,,,,
2019-07-21 00:00:00-07:00,1035.0,904.0,140.0,129.0,181.0,192.0,86.0,141.0,58.0,69.0,111.0,,22.0,,,85.0,34.0,42.0,55.0,,7.0,45.0,33.0,,46.0,38.0,,,,,,,,,
2019-07-28 00:00:00-07:00,1399.0,954.0,261.0,245.0,302.0,220.0,138.0,117.0,138.0,152.0,73.0,,33.0,,,51.0,87.0,113.0,103.0,,25.0,40.0,17.0,,63.0,34.0,,,,,,,,,
2019-08-04 00:00:00-07:00,1407.0,792.0,272.0,243.0,257.0,218.0,124.0,129.0,103.0,107.0,123.0,,61.0,,,86.0,74.0,96.0,83.0,,8.0,21.0,19.0,,45.0,41.0,,,,,,,,,
2019-08-11 00:00:00-07:00,755.0,412.0,202.0,195.0,176.0,217.0,142.0,128.0,64.0,166.0,90.0,,71.0,,,32.0,101.0,76.0,82.0,,7.0,22.0,13.0,,29.0,51.0,,,,,,,,,
2019-08-18 00:00:00-07:00,1385.0,776.0,349.0,293.0,310.0,205.0,189.0,152.0,117.0,192.0,105.0,,67.0,,,73.0,128.0,133.0,99.0,,10.0,36.0,24.0,,51.0,32.0,,,,,,,,,
2019-08-25 00:00:00-07:00,471.0,374.0,169.0,150.0,117.0,195.0,97.0,135.0,52.0,98.0,75.0,,49.0,,,64.0,61.0,56.0,57.0,,9.0,27.0,13.0,,68.0,37.0,,,,,,,,,
2019-09-01 00:00:00-07:00,424.0,294.0,154.0,136.0,105.0,164.0,82.0,124.0,60.0,106.0,56.0,,30.0,,,58.0,64.0,82.0,67.0,,4.0,25.0,18.0,,52.0,35.0,,,,,,,,,
2019-09-08 00:00:00-07:00,959.0,620.0,216.0,188.0,155.0,103.0,96.0,118.0,81.0,98.0,42.0,,23.0,,,54.0,111.0,72.0,97.0,,6.0,18.0,13.0,,19.0,23.0,,,,,,,,,
2019-09-15 00:00:00-07:00,306.0,548.0,54.0,42.0,29.0,173.0,24.0,125.0,19.0,22.0,43.0,,16.0,,,94.0,10.0,11.0,18.0,,12.0,56.0,32.0,,42.0,12.0,,,,,,,,,
2019-09-22 00:00:00-07:00,1220.0,693.0,158.0,176.0,99.0,170.0,101.0,98.0,56.0,115.0,43.0,,51.0,,,100.0,77.0,58.0,82.0,,5.0,42.0,27.0,,29.0,23.0,,,,,,,,,
2019-09-29 00:00:00-07:00,1231.0,560.0,170.0,188.0,172.0,117.0,91.0,90.0,72.0,120.0,42.0,,32.0,,,116.0,111.0,54.0,86.0,,5.0,42.0,23.0,,40.0,16.0,,,,,,,,,
2019-10-06 00:00:00-07:00,1122.0,510.0,222.0,158.0,142.0,147.0,105.0,99.0,99.0,105.0,49.0,,35.0,,,152.0,84.0,81.0,91.0,,5.0,53.0,32.0,,65.0,31.0,,,,,,,,,
2019-10-13 00:00:00-07:00,554.0,466.0,138.0,91.0,73.0,98.0,47.0,48.0,52.0,72.0,34.0,,29.0,,,63.0,60.0,41.0,41.0,,9.0,26.0,20.0,,44.0,64.0,,,,,,,,,
2019-10-20 00:00:00-07:00,1229.0,898.0,206.0,184.0,144.0,185.0,105.0,97.0,100.0,144.0,60.0,,44.0,,,178.0,113.0,88.0,76.0,,14.0,58.0,53.0,,24.0,25.0,,,,,,,,,
2019-10-27 00:00:00-07:00,820.0,335.0,116.0,128.0,50.0,113.0,79.0,78.0,39.0,62.0,45.0,,53.0,,,80.0,69.0,35.0,35.0,,4.0,31.0,21.0,,15.0,9.0,,,,,,,,,
2019-11-03 00:00:00-07:00,1229.0,376.0,227.0,217.0,134.0,100.0,146.0,53.0,90.0,120.0,72.0,,49.0,,,84.0,104.0,93.0,57.0,,,33.0,16.0,,17.0,10.0,,,,,,,,,
2019-11-10 00:00:00-08:00,887.0,383.0,145.0,441.0,91.0,107.0,61.0,79.0,65.0,84.0,53.0,,33.0,,,113.0,64.0,49.0,115.0,,14.0,56.0,20.0,,32.0,10.0,,,,,,,,,
2019-11-17 00:00:00-08:00,792.0,495.0,196.0,131.0,102.0,110.0,79.0,98.0,32.0,82.0,48.0,,30.0,,,119.0,67.0,46.0,65.0,,2.0,32.0,28.0,,24.0,13.0,,,,,,,,,
2019-11-24 00:00:00-08:00,676.0,463.0,164.0,132.0,168.0,65.0,47.0,74.0,66.0,69.0,46.0,,25.0,,,102.0,57.0,34.0,35.0,,5.0,27.0,28.0,,20.0,7.0,,,,,,,,,
2019-12-01 00:00:00-08:00,362.0,381.0,138.0,153.0,100.0,108.0,50.0,107.0,42.0,66.0,64.0,,19.0,,,118.0,62.0,53.0,37.0,,9.0,51.0,48.0,,26.0,12.0,,,,,,,,,
2019-12-08 00:00:00-08:00,816.0,594.0,220.0,181.0,180.0,73.0,93.0,76.0,72.0,102.0,58.0,,36.0,,,153.0,91.0,52.0,50.0,,11.0,40.0,33.0,,23.0,7.0,,,,,,,,,
2019-12-15 00:00:00-08:00,610.0,576.0,224.0,159.0,132.0,82.0,99.0,96.0,56.0,93.0,52.0,,23.0,,,149.0,63.0,66.0,49.0,,9.0,37.0,44.0,,37.0,22.0,,,,,,,,,
2019-12-22 00:00:00-08:00,857.0,703.0,336.0,288.0,257.0,90.0,113.0,111.0,101.0,145.0,86.0,,32.0,,,189.0,112.0,87.0,93.0,,16.0,53.0,92.0,,38.0,29.0,,,,,,,,,
2019-12-29 00:00:00-08:00,1745.0,855.0,392.0,427.0,324.0,120.0,169.0,136.0,123.0,167.0,117.0,,115.0,,,222.0,140.0,111.0,95.0,,16.0,67.0,67.0,,29.0,21.0,,,,,,,,,
2020-01-05 00:00:00-08:00,1192.0,754.0,223.0,264.0,304.0,125.0,173.0,129.0,94.0,130.0,122.0,,62.0,,,198.0,79.0,95.0,71.0,,9.0,43.0,64.0,,38.0,27.0,,,,,,,,,
2020-01-12 00:00:00-08:00,1006.0,375.0,228.0,180.0,160.0,45.0,89.0,40.0,66.0,120.0,43.0,,57.0,,,63.0,148.0,78.0,54.0,,8.0,15.0,9.0,,4.0,3.0,,,,,,,,,
2020-01-19 00:00:00-08:00,515.0,294.0,76.0,49.0,57.0,62.0,28.0,52.0,16.0,19.0,57.0,,19.0,,,82.0,26.0,21.0,6.0,,6.0,26.0,32.0,,9.0,10.0,,,,,,,,,
2020-01-26 00:00:00-08:00,807.0,593.0,208.0,169.0,162.0,87.0,97.0,141.0,59.0,111.0,76.0,,30.0,,,147.0,91.0,69.0,61.0,,6.0,38.0,66.0,,31.0,14.0,,,,,,,,,
2020-02-02 00:00:00-08:00,577.0,346.0,119.0,87.0,88.0,37.0,29.0,44.0,38.0,55.0,39.0,,30.0,,,47.0,36.0,34.0,28.0,,4.0,22.0,17.0,,10.0,2.0,,,,,,,,,
2020-02-09 00:00:00-08:00,650.0,228.0,91.0,81.0,65.0,53.0,34.0,51.0,22.0,39.0,48.0,,27.0,,,49.0,33.0,28.0,40.0,,1.0,12.0,17.0,,7.0,7.0,,,,,,,,,
2020-02-16 00:00:00-08:00,516.0,322.0,147.0,135.0,97.0,75.0,59.0,79.0,43.0,49.0,37.0,,29.0,,,79.0,54.0,46.0,35.0,,3.0,23.0,18.0,,14.0,9.0,,,,,,,,,
2020-02-23 00:00:00-08:00,899.0,483.0,64.0,53.0,69.0,110.0,18.0,81.0,19.0,43.0,79.0,,45.0,,,78.0,5.0,16.0,3.0,,10.0,33.0,28.0,,21.0,5.0,,,,,,,,,
2020-03-01 00:00:00-08:00,467.0,490.0,140.0,92.0,100.0,69.0,39.0,57.0,43.0,44.0,36.0,,17.0,,,76.0,32.0,33.0,34.0,,,25.0,18.0,,10.0,6.0,,,,,,,,,
2020-03-08 00:00:00-08:00,185.0,288.0,58.0,50.0,66.0,55.0,15.0,50.0,24.0,21.0,22.0,,24.0,,,50.0,20.0,18.0,19.0,,8.0,27.0,21.0,,5.0,12.0,,,,,,,,,
2020-03-15 00:00:00-07:00,314.0,300.0,194.0,130.0,118.0,30.0,53.0,65.0,60.0,81.0,15.0,,18.0,,,50.0,75.0,28.0,1.0,,3.0,28.0,11.0,,9.0,8.0,,,,,,,,,
2020-03-22 00:00:00-07:00,103.0,163.0,80.0,49.0,44.0,40.0,15.0,61.0,24.0,19.0,18.0,,6.0,5.0,2.0,17.0,20.0,15.0,,6.0,5.0,3.0,6.0,,6.0,6.0,,,,,,,18.0,10.0,12.0
2020-03-29 00:00:00-07:00,50.0,,5.0,8.0,,7.0,,,1.0,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,3.0,1.0
2020-05-03 00:00:00-07:00,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-10 00:00:00-07:00,123.0,41.0,31.0,32.0,29.0,,12.0,14.0,7.0,22.0,9.0,,6.0,5.0,1.0,,11.0,,,3.0,,,,,,,,7.0,,,,,,,
2020-05-17 00:00:00-07:00,131.0,70.0,33.0,29.0,29.0,8.0,24.0,13.0,13.0,40.0,9.0,,10.0,8.0,2.0,,13.0,,,7.0,,,,,,,,14.0,,,,,,,
2020-05-24 00:00:00-07:00,466.0,259.0,134.0,88.0,107.0,44.0,54.0,40.0,45.0,88.0,19.0,20.0,29.0,11.0,12.0,,28.0,,,12.0,,,,,,,,28.0,,,,,,,
2020-05-31 00:00:00-07:00,283.0,176.0,62.0,4.0,106.0,26.0,40.0,12.0,36.0,44.0,10.0,11.0,16.0,6.0,2.0,,32.0,,,6.0,,,,,,,,15.0,,,,,,,
2020-06-07 00:00:00-07:00,473.0,305.0,105.0,,180.0,55.0,45.0,25.0,66.0,63.0,28.0,28.0,21.0,22.0,10.0,,65.0,,,10.0,,,,,,,,42.0,,,,,,,
2020-06-14 00:00:00-07:00,804.0,567.0,170.0,,194.0,99.0,118.0,46.0,85.0,141.0,41.0,65.0,50.0,56.0,27.0,,100.0,,,21.0,,,,,,,,92.0,,1.0,,,,,
2020-06-21 00:00:00-07:00,1029.0,633.0,,,221.0,180.0,119.0,114.0,68.0,127.0,63.0,74.0,48.0,65.0,39.0,,99.0,,,39.0,,,,,,,,117.0,,,,,,,
2020-06-28 00:00:00-07:00,1024.0,591.0,223.0,174.0,276.0,132.0,114.0,120.0,79.0,24.0,63.0,73.0,64.0,43.0,23.0,,92.0,,,22.0,,,,,,,,126.0,,,,,,,
2020-07-05 00:00:00-07:00,1113.0,545.0,343.0,340.0,300.0,128.0,89.0,77.0,101.0,,68.0,112.0,86.0,55.0,26.0,,147.0,,,35.0,1.0,,,,,,,55.0,,,,,,,
2020-07-12 00:00:00-07:00,459.0,544.0,130.0,124.0,167.0,98.0,2.0,51.0,58.0,,33.0,52.0,30.0,43.0,24.0,,71.0,,,9.0,,,,,,,53.0,1.0,,,,,,,
2020-07-19 00:00:00-07:00,898.0,404.0,274.0,197.0,123.0,86.0,,26.0,69.0,,22.0,61.0,54.0,20.0,13.0,,30.0,,,4.0,,,,,,,137.0,,,,,,,,
2020-07-26 00:00:00-07:00,1223.0,808.0,299.0,321.0,166.0,154.0,1.0,62.0,81.0,,48.0,74.0,69.0,42.0,16.0,,,,,15.0,,,,,,,185.0,2.0,,,,,,,
2020-08-02 00:00:00-07:00,1048.0,779.0,381.0,300.0,219.0,136.0,1.0,72.0,74.0,142.0,61.0,64.0,94.0,28.0,19.0,,,,,14.0,,,,,,,220.0,,,,,,,,
2020-08-09 00:00:00-07:00,1242.0,649.0,371.0,303.0,120.0,118.0,,54.0,25.0,259.0,51.0,31.0,98.0,40.0,17.0,,,,,13.0,1.0,,,,,,201.0,,,,,,,,
2020-08-16 00:00:00-07:00,1096.0,810.0,355.0,299.0,141.0,155.0,122.0,85.0,36.0,218.0,63.0,37.0,61.0,45.0,27.0,,,,,15.0,,,,,,,46.0,,,,,,,,
2020-08-23 00:00:00-07:00,929.0,711.0,266.0,262.0,93.0,142.0,108.0,72.0,32.0,194.0,57.0,33.0,69.0,42.0,25.0,,,,,28.0,,,,,,,,,,,,,,,
2020-08-30 00:00:00-07:00,536.0,811.0,133.0,141.0,110.0,121.0,56.0,92.0,31.0,87.0,64.0,27.0,42.0,46.0,30.0,,,,,32.0,,,,,,,1.0,,,,,,,,
2020-09-06 00:00:00-07:00,245.0,306.0,72.0,86.0,161.0,63.0,48.0,28.0,64.0,60.0,31.0,68.0,23.0,27.0,13.0,,,,,6.0,,,,,,,1.0,,,,,,,,
2020-09-13 00:00:00-07:00,956.0,459.0,280.0,295.0,176.0,90.0,89.0,38.0,97.0,243.0,40.0,70.0,81.0,41.0,19.0,,,,,10.0,2.0,,,,,,,,,,,,,,
2020-09-20 00:00:00-07:00,551.0,393.0,198.0,152.0,156.0,57.0,64.0,23.0,85.0,119.0,40.0,81.0,53.0,26.0,11.0,,,,,13.0,,,,,,,,,,,,,,,
2020-09-27 00:00:00-07:00,845.0,386.0,243.0,232.0,124.0,118.0,87.0,74.0,61.0,187.0,22.0,75.0,54.0,76.0,26.0,,,,,29.0,,,,,23.0,,,,,1.0,,,,,
2020-10-04 00:00:00-07:00,423.0,556.0,115.0,126.0,146.0,96.0,40.0,32.0,64.0,111.0,20.0,32.0,25.0,37.0,11.0,,,,,11.0,3.0,,,,12.0,,,,,,,,,,
2020-10-11 00:00:00-07:00,515.0,310.0,127.0,138.0,86.0,116.0,56.0,47.0,26.0,140.0,25.0,45.0,36.0,68.0,19.0,,,,,23.0,,,,,,,,,,,,,,,
2020-10-18 00:00:00-07:00,804.0,249.0,246.0,240.0,88.0,149.0,103.0,59.0,57.0,201.0,38.0,73.0,39.0,86.0,39.0,,,,,30.0,,,,,,,,,,3.0,,,,,
2020-10-25 00:00:00-07:00,909.0,543.0,248.0,231.0,113.0,104.0,105.0,72.0,66.0,177.0,54.0,68.0,54.0,131.0,34.0,,,,,35.0,5.0,,,,,,,,,2.0,,,,,
2020-11-01 00:00:00-07:00,977.0,681.0,301.0,279.0,170.0,43.0,175.0,15.0,66.0,215.0,32.0,79.0,61.0,62.0,14.0,,,,,15.0,,,,,,,,,,,,,,,
2020-11-08 00:00:00-08:00,945.0,812.0,259.0,227.0,178.0,54.0,108.0,13.0,74.0,163.0,39.0,67.0,51.0,47.0,21.0,,,,,3.0,2.0,,,,,,,,,,,,,,
2020-11-15 00:00:00-08:00,660.0,283.0,219.0,157.0,81.0,74.0,76.0,49.0,36.0,155.0,36.0,58.0,36.0,110.0,41.0,,,,,32.0,3.0,,,,,,,,,,,,,,
2020-11-22 00:00:00-08:00,472.0,157.0,146.0,145.0,55.0,66.0,58.0,26.0,25.0,81.0,39.0,32.0,26.0,99.0,43.0,,,,,35.0,,,,,,,,,,2.0,,,,,
2020-11-29 00:00:00-08:00,580.0,566.0,234.0,162.0,217.0,101.0,78.0,123.0,64.0,134.0,44.0,34.0,25.0,132.0,61.0,,,,,35.0,3.0,,,,,,,,,,,,,,
2020-12-06 00:00:00-08:00,942.0,787.0,310.0,233.0,218.0,49.0,100.0,30.0,57.0,169.0,46.0,54.0,45.0,79.0,30.0,,,,,22.0,9.0,,,,,,,,,2.0,,,,,
2020-12-13 00:00:00-08:00,833.0,396.0,271.0,203.0,113.0,95.0,77.0,66.0,30.0,221.0,66.0,62.0,35.0,128.0,38.0,,,,,35.0,3.0,,,,,,,,,1.0,,,,,
2020-12-20 00:00:00-08:00,818.0,16.0,308.0,210.0,61.0,83.0,90.0,62.0,35.0,156.0,40.0,76.0,25.0,102.0,56.0,,,,,40.0,2.0,,,,,,,,,,,1.0,,,
2020-12-27 00:00:00-08:00,1307.0,734.0,440.0,346.0,253.0,78.0,212.0,69.0,94.0,138.0,57.0,89.0,58.0,89.0,40.0,,,,,37.0,1.0,,,,,,,,,,,1.0,,,
2021-01-03 00:00:00-08:00,1510.0,1022.0,416.0,372.0,387.0,59.0,155.0,51.0,139.0,133.0,40.0,79.0,53.0,98.0,51.0,,,,,45.0,4.0,,,,,,,,,3.0,,,,,
2021-01-10 00:00:00-08:00,424.0,847.0,116.0,102.0,173.0,68.0,57.0,42.0,49.0,55.0,78.0,12.0,35.0,106.0,57.0,,,,,31.0,10.0,,,,,,,,,1.0,,,,,
2021-01-17 00:00:00-08:00,449.0,598.0,145.0,122.0,164.0,38.0,47.0,23.0,32.0,92.0,27.0,38.0,21.0,54.0,19.0,,,,,12.0,5.0,,,,,,,,,,,,,,
2021-01-24 00:00:00-08:00,848.0,919.0,299.0,219.0,259.0,50.0,136.0,37.0,91.0,116.0,60.0,53.0,42.0,114.0,39.0,,,,,21.0,2.0,,,,,,,,,,,,,,
2021-01-31 00:00:00-08:00,760.0,821.0,229.0,201.0,218.0,49.0,100.0,36.0,55.0,155.0,49.0,51.0,36.0,96.0,24.0,,,,,18.0,11.0,,,,,,,,,,,,,,
2021-02-07 00:00:00-08:00,579.0,423.0,189.0,149.0,131.0,94.0,87.0,71.0,61.0,140.0,51.0,49.0,30.0,81.0,34.0,,,,,38.0,2.0,,,,,,,,,,,,,,
2021-02-14 00:00:00-08:00,538.0,531.0,168.0,120.0,143.0,78.0,78.0,58.0,39.0,122.0,54.0,44.0,35.0,134.0,74.0,,,,,59.0,9.0,,,,,,,,,,,,,,
2021-02-21 00:00:00-08:00,880.0,764.0,212.0,233.0,211.0,104.0,111.0,48.0,43.0,166.0,87.0,58.0,45.0,129.0,64.0,,,,,55.0,,,,,,,,,,1.0,,,,,
2021-02-28 00:00:00-08:00,393.0,593.0,125.0,125.0,119.0,70.0,45.0,24.0,47.0,101.0,43.0,35.0,27.0,83.0,21.0,,,,,21.0,4.0,,,,,,,,,,,,,,
2021-03-07 00:00:00-08:00,395.0,249.0,149.0,98.0,44.0,70.0,41.0,37.0,12.0,95.0,38.0,35.0,19.0,52.0,19.0,,,,,12.0,4.0,,,,,,,,,1.0,,,,,
2021-03-14 00:00:00-08:00,497.0,273.0,176.0,156.0,89.0,88.0,55.0,58.0,50.0,134.0,31.0,52.0,25.0,61.0,41.0,,,,,35.0,5.0,,,,,,,,,2.0,,,,,
2021-03-21 00:00:00-07:00,405.0,372.0,148.0,112.0,109.0,19.0,71.0,6.0,49.0,142.0,8.0,39.0,16.0,11.0,3.0,,,,,4.0,,,,,,,,,,1.0,,,,,
2021-03-28 00:00:00-07:00,471.0,473.0,130.0,97.0,95.0,67.0,46.0,31.0,30.0,96.0,32.0,32.0,38.0,51.0,17.0,,,,,17.0,11.0,,,,,,,,,1.0,,4.0,,,
2021-04-04 00:00:00-07:00,477.0,105.0,170.0,134.0,55.0,102.0,48.0,62.0,24.0,121.0,33.0,44.0,23.0,61.0,18.0,,,,,21.0,6.0,,,,,,,,,5.0,,2.0,,,
2021-04-11 00:00:00-07:00,910.0,1076.0,269.0,252.0,315.0,153.0,138.0,108.0,90.0,195.0,112.0,68.0,40.0,101.0,52.0,,,,,34.0,5.0,,,,,,,,,4.0,,,,,
2021-04-18 00:00:00-07:00,943.0,698.0,281.0,294.0,266.0,58.0,115.0,35.0,96.0,173.0,35.0,73.0,51.0,21.0,10.0,,,,,12.0,3.0,,,,,,,,,2.0,,,,,
2021-04-25 00:00:00-07:00,687.0,715.0,215.0,168.0,164.0,60.0,92.0,27.0,82.0,115.0,29.0,52.0,41.0,43.0,12.0,,,,,27.0,4.0,,,,,,,,,1.0,,,,,
2021-05-02 00:00:00-07:00,719.0,422.0,160.0,153.0,109.0,88.0,88.0,50.0,49.0,141.0,17.0,38.0,29.0,45.0,17.0,,,,,18.0,3.0,,,,,,,,,2.0,,,,,
2021-05-09 00:00:00-07:00,218.0,298.0,57.0,54.0,91.0,83.0,36.0,44.0,40.0,69.0,29.0,24.0,6.0,27.0,15.0,,,,,12.0,5.0,,,,,,,,,,,,,,
2021-05-16 00:00:00-07:00,814.0,715.0,214.0,220.0,185.0,128.0,101.0,59.0,77.0,168.0,45.0,74.0,35.0,31.0,12.0,,,,,15.0,6.0,,,,,,,,,,,,,,
2021-05-23 00:00:00-07:00,700.0,538.0,180.0,154.0,142.0,80.0,81.0,41.0,54.0,156.0,22.0,56.0,36.0,36.0,18.0,,,,,19.0,8.0,,,,,,,,,2.0,,,,,
